CDB_ID,NOME,ENDERECO,IMAGEM,PETISCO,DESCRICAO
042,BAR DU DU,"RUA VIOLETA, 369, ESPLANADA, BELO HORIZONTE, MG, BRASIL",https://comidadibuteco.com.br/wp-content/uploads/2022/03/Bar-du-Du_Moela-do-Papai_Pocos-de-Caldas_2023_Dreison-Medeiros-scaled.jpg,Porco sem vergonha,Picadinho de carne de porco ao molho acompanhado de um creme de batata
043,BAR TEMÁTICO STA TERESA,"RUA PIRITE, 187, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050630/tematico_cdb_25desucessoarrumado_bh_2025_rodneycosta_unibh-9084-scaled.jpg,#CDB - 25 anos de sucesso - Arrumado,"Carne de sol, feijão de corda, farofa e vinagrete e manteiga de garrafa ."
044,COSMOS,"RUA VICENTE RISOLA, 1305, SANTA INES, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/T7ICQMnz0pBmz14LiRzhJ1ars6I=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/P/G/VvtaR9SfOWa39kXNBVLw/cosmos-meteoroexplosaodesabores-bh-2025-rodneycosta-unibh-7483.jpg,Meteoro - Explosão de sabores,"Tiras de picanha, alcatra e maminha ao molho de cerveja preta, com batata tipo chips e creme de alho."
045,IRACEMA BAR,"RUA ALMANDINA, 56, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19153541/iracema_harumakidecarnedepanela_bh_2025_fernandaoliveira_unibh-8240-scaled.jpg,Harumaki de Carne de Panela servido com molho picante de cebola caramelizada,"Harumaki, também conhecido como rolinho primavera, recheado com uma carne de panela cozida bem devagarinho e cheia de especiarias. Servido com um molho agridoce e picante. Uma explosão de texturas e sabores."
046,KOQUEIROS BAR,"AVENIDA SILVIANO BRANDAO, 1293, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/UGo8at6j82f5U7oC-O7l5VV2C68=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/C/1/drW6JKTWuGQR4u2DsvrA/koqueiros-duvideimasamei-bh-2025-isaquerodrigues-unibh-7679.jpg,"Duvidei, mas amei!","Berinjela empanada e frita servida ao molho à bolonhesa em uma cama de requeijão cremoso, coberta de muçarela. Acompanha pasteizinhos de vento da casa."
047,LOCOMOTIVAS BAR,"RUA CARMESIA, 568, SANTA INES, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/TQqAlYVssb3uEzvSClqZKmXv4Ak=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/p/O/7movpNRjC5nrug5R9kuQ/locomotivasbar-cumpimembreagadoetrouxa-bh-2025-amandacantanhede-unibh-8315.jpg,CUPIM: Embriagado e trouxa,"Trouxinha recheada com cupim marinado na cachaça e queijo canastra, acompanha maionese de alho"
048,QUITANDAS DA TIA NICE BAR,"RUA ALABASTRO, 146, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044911/quitandatianice_queceque_bh_2025_rodneycosta_unibh-7389-2048x1365.jpg,QUÊ SÉ QUÉ!,Disco de Carne Recheada com Provolone
049,REGIS BAR,"RUA VINTE E OITO DE SETEMBRO, 872, ESPLANADA, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15044821/regisbar_trioparadadura_bh_2025_isaquerodrigues_unibh-8785-scaled.jpg,Trio parada dura,Costelinha ao molho de abacaxi com mandioca e cebola
050,SANTA BOEMIA,"RUA MARMORE, 534, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/joRyFdM_F7vGdyoahrnx6cquiJ4=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/u/V/1xcDOZQ5SYHtErKSW0YA/santaboemia-sextoubb-bh-2025-rodneycosta-unibh-7592.jpg,Sextou BB!,"Bolinhos de feijoada, recheados com calabresa e couve, acompanhados de torresminho pururuca, vinagrete da casa, laranja e uma dose de cachaça"
051,SILVIO'S BAR,"RUA BEGONIA, 199, ESPLANADA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/zaxyrYGi6qblQiL53MdlyoxJS9I=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Y/f/IzbrtJQt219jCz4qyhLA/silviosbar-frangonia-bh-2025-rodneycosta-unibh-7982.jpg,Frangônia,"Coxinha da asa de frango empanado, acompanha batata rústica e molho parmesão e ervas."
