ID_ATIV_ECON_ESTABELECIMENTO,ID_CDB,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,COORDS,COORD_GEO
231033,000,5611201.0,2019-09-10,NÃO,"RUA LIDIA, 400, PIRAJA, BELO HORIZONTE, MG, BRASIL",34.826.695 BRENDA DE OLIVEIRA SILVA,BRENDA OLIVER GOUMER,POINT (613568.32 7803172.61),"(-19.8642306, -43.9153324)","(-19.8642748, -43.9152919)"
231360,000,5611201.0,2019-09-12,NÃO,"AVENIDA JEQUITINHONHA, 347, ALTO VERA CRUZ, BELO HORIZONTE, MG, BRASIL",HUGO LEONARDO DOS SANTOS 01711696625,BRIDES DELIVERY,POINT (615716.55 7798273.54),"(-19.9159715, -43.8921433)","(-19.9084124, -43.8944696)"
231681,000,5611204.0,2019-09-16,NÃO,"RUA ANTONIO EUSTAQUIO PIAZZA, 14, JOAO PAULO II, BELO HORIZONTE, MG, BRASIL",34.884.359 MARIA BARBOSA MENDES,MARIA BARBOSA MENDES,POINT (601056.39 7789995.26),"(nan, nan)","(-19.9840257, -44.0340587)"
232331,000,5611201.0,2019-09-22,NÃO,"RUA SARAH CARVALHO MACHADO, 268, CEU AZUL, BELO HORIZONTE, MG, BRASIL",GUILHERME SEVERINO COSTA 11970924632,ESTABELECIMENTO SEM NOME,POINT (604786.31 7808415.30),"(-19.8174201, -43.9995636)","(-19.8173955, -43.9994571)"
232615,000,5611201.0,2019-09-24,NÃO,"AVENIDA DEPUTADO CRISTOVAM CHIARADIA, 392, BURITIS, BELO HORIZONTE, MG, BRASIL",PIZZARIA ALPHAVILLE NOVA LIMA LTDA,ESTABELECIMENTO SEM NOME,POINT (607286.10 7790461.94),"(nan, nan)","(-19.9794748, -43.9745466)"
232921,000,5611205.0,2019-09-26,NÃO,"RUA FLOR DE CEREJEIRA, 76, TUPI B, BELO HORIZONTE, MG, BRASIL",RSN ESPETERIA LTDA,ESTABELECIMENTO SEM NOME,POINT (613685.46 7807327.94),"(-19.8257121, -43.9139537)","(-19.8267237, -43.9144285)"
232922,000,5611201.0,2019-09-26,NÃO,"RUA DOS BORGES, 367, JARDIM VITORIA, BELO HORIZONTE, MG, BRASIL",FATIMA APARECIDA DO NASCIMENTO BERTOLDO ROCHA 08864229655,ALTO ASTRAL J&F,POINT (616516.20 7804666.53),"(-19.8412161, -43.8765709)","(-19.8506035, -43.8872343)"
229123,000,5611201.0,2019-08-26,NÃO,"RUA EDNA QUENTEL, 120, SAO BERNARDO, BELO HORIZONTE, MG, BRASIL",THALYSON ALVES DE SOUZA 01951760654,ESTABELECIMENTO SEM NOME,POINT (610585.38 7804989.35),"(nan, nan)","(-19.8480312, -43.9438874)"
229136,000,5611205.0,2019-08-26,NÃO,"RUA ALBERTO CINTRA, 200, UNIAO, BELO HORIZONTE, MG, BRASIL",GARRAFAS BEER'S RESTAURANTE E ESPETERIA LTDA,IMPERADOR,POINT (612167.67 7801292.11),"(-19.8845105, -43.9292189)","(-19.8813465, -43.9285538)"
229784,000,5611201.0,2019-08-30,NÃO,"RUA JOAQUIM RAMOS, 363, PARAISO, BELO HORIZONTE, MG, BRASIL",JONATHAN WILLIAN SANTOS GONCALVES 11098110633,JW LANCHES,POINT (614809.39 7796794.95),"(-19.922349, -43.9030338)","(-19.9218253, -43.9030431)"
230096,000,5611201.0,2019-09-03,NÃO,"RUA PEDERNEIRAS, 80, PIRATININGA, BELO HORIZONTE, MG, BRASIL",LOURDESLENE OSORIO 60751479691,TUDO DE FRANGO,POINT (605931.49 7809523.89),"(-19.8077937, -43.9885356)","(-19.8073172, -43.988587)"
230401,000,5611201.0,2019-09-05,NÃO,"RUA CLAUDIO JOSE DE SOUZA, 18, UNIAO, BELO HORIZONTE, MG, BRASIL",ADEIR CARREIRO DE SOUSA 22913572634,RANCHO DO CHEF GOURMET,POINT (613440.68 7801221.80),"(-19.8828506, -43.9171805)","(-19.8819082, -43.9163911)"
230728,000,5611201.0,2019-09-09,NÃO,"RUA MIOSOTIS, 110, LINDEIA, BELO HORIZONTE, MG, BRASIL",ADRIANA LOURENCA DE ALMEIDA JOANES 91381223672,TUDBOM,POINT (599373.25 7790438.33),"(-19.9801547, -44.0502119)","(-19.9801093, -44.0501692)"
230734,000,5611201.0,2019-09-09,NÃO,"RUA ANTONIO DE ALBUQUERQUE, 378, SAVASSI, BELO HORIZONTE, MG, BRASIL",PAO COM Q BAR E RESTAURANTE LTDA,PAO COM Q,POINT (611566.77 7794974.63),"(-19.938954, -43.9322878)","(-19.9384607, -43.9339106)"
230738,000,5611201.0,2019-09-09,NÃO,"RUA JOSE FLORA, 333, LETICIA, BELO HORIZONTE, MG, BRASIL",ROSARIA MARIA PEREIRA DA SILVA 72293489604,RO LANCHES E REFEICOES,POINT (606878.02 7809806.69),"(-19.8048522, -43.9786653)","(-19.8047106, -43.9795671)"
231380,000,5611204.0,2019-09-12,NÃO,"RUA CARLOS CAMPOS MOTTA, 253, ITATIAIA, BELO HORIZONTE, MG, BRASIL",ROSANA PEREIRA DA SILVA 04083315695,SILVAS BAR,POINT (603467.69 7802860.85),"(-19.8676041, -44.0122167)","(-19.8676528, -44.0117359)"
